instance_id,agent,num_occurrences,num_cache_hits,first_turn_index,turn_indices,resource_group_key,cache_key
astropy__astropy-12907,Planner,6,5,0,"0,14,15,38,39,40","{""agent"":""Planner"",""completion_bucket"":""256-1023"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""cf754b539d9e7f5a"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Inner-Navigator-Assistant,6,5,115,"115,157,158,259,260,261","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""python_exec""}","{""action_signature_hash"":""9c759c3bc8877e8e"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""4d39eb72c0d7a267"",""kind"":""action"",""subgoal"":"""",""tool_name"":""python_exec""}"
astropy__astropy-14365,Inner-Navigator-Assistant,6,5,118,"118,163,164,268,269,270","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":true,""content_hash"":""31ff0cfd94782584"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
matplotlib__matplotlib-24265,Inner-Executor-Assistant,6,5,2,"2,3,4,7,8,9","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""da39a3ee5e6b4b0d"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Inner-Navigator-Assistant,5,4,22,"22,23,50,51,52","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""python_exec""}","{""action_signature_hash"":""910b113765697228"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""50f02b8efef26bc7"",""kind"":""action"",""subgoal"":"""",""tool_name"":""python_exec""}"
astropy__astropy-14365,Inner-Editor-Assistant,4,3,201,"201,202,207,208","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""40e889c13ff53f8d"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""ccb1abad9a19939e"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
django__django-11742,Inner-Editor-Assistant,4,3,18,"18,29,40,43","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""bc763cd41210febe"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
matplotlib__matplotlib-24334,Inner-Executor-Assistant,4,3,109,"109,110,111,112","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""da39a3ee5e6b4b0d"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Inner-Navigator-Assistant,3,2,56,"56,57,58","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""faea51bfefe317b4"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""2a1c14477c000f34"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-12907,Inner-Navigator-Assistant,3,2,59,"59,60,61","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""python_exec""}","{""action_signature_hash"":""baebdc6f7099170a"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""475b73019da8ff93"",""kind"":""action"",""subgoal"":"""",""tool_name"":""python_exec""}"
astropy__astropy-12907,Planner,3,2,53,"53,54,55","{""agent"":""Planner"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""5d48b2f91d427700"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Inner-Editor-Assistant,3,2,283,"283,284,285","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""8bb46f10681ee749"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""cd088ed8356c9549"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-14365,Inner-Editor-Assistant,3,2,286,"286,287,288","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""40e889c13ff53f8d"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""481011733ff0a0f3"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-14365,Inner-Editor-Assistant,3,2,289,"289,290,291","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""2c526fb36a070ec4"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""3c065c17b373acdd"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-14365,Inner-Editor-Assistant,3,2,292,"292,293,294","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""c9577d12a13940e8"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""13ba71d8c40839ba"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-14365,Inner-Editor-Assistant,3,2,295,"295,296,297","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""c5c921bea82d3837"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""e37beaefa63cc7b7"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-14365,Inner-Navigator-Assistant,3,2,274,"274,275,276","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""ca8e5da6a651d2f2"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""757bd7319e670129"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-14365,Inner-Navigator-Assistant,3,2,277,"277,278,279","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":true,""content_hash"":""0121cdcd9e07449b"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Inner-Navigator-Assistant,3,2,301,"301,302,303","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""df9331289814a19a"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""8df1a34e222fa537"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-14365,Planner,3,2,271,"271,272,273","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""ccd50251a149a72a"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Planner,3,2,280,"280,281,282","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""50265a5792b8cb29"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Planner,3,2,298,"298,299,300","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""d8c3f5de7ef204fa"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-6938,Inner-Navigator-Assistant,3,2,1,"1,36,37","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""get_folder_structure""}","{""action_signature_hash"":""65ed864ecf207523"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""dc5b00707f08a434"",""kind"":""action"",""subgoal"":"""",""tool_name"":""get_folder_structure""}"
astropy__astropy-6938,Planner,3,2,0,"0,34,35","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""310b7cf296d28570"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
matplotlib__matplotlib-18869,Inner-Executor-Assistant,3,2,15,"15,34,35","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""da39a3ee5e6b4b0d"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
matplotlib__matplotlib-24334,Inner-Navigator-Assistant,3,2,1,"1,41,42","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""code_search""}","{""action_signature_hash"":""cb865b4114c45b8e"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""41a21ba597b843fb"",""kind"":""action"",""subgoal"":"""",""tool_name"":""code_search""}"
matplotlib__matplotlib-24334,Planner,3,2,0,"0,39,40","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""c5e1a5b6fc2af0fc"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Inner-Editor-Assistant,2,1,32,"32,33","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""fab81abf837c0546"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""e670c751026de321"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-12907,Inner-Editor-Assistant,2,1,34,"34,35","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""bc763cd41210febe"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Inner-Executor-Assistant,2,1,26,"26,27","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""echo""}","{""action_signature_hash"":""2c837957c14386a0"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""cfa2b4ccfc74fe22"",""kind"":""action"",""subgoal"":"""",""tool_name"":""echo""}"
astropy__astropy-12907,Inner-Executor-Assistant,2,1,28,"28,29","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":true,""content_hash"":""89e7ade39484edc8"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Planner,2,1,24,"24,25","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""4b0149a30f905ec0"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Planner,2,1,30,"30,31","{""agent"":""Planner"",""completion_bucket"":""256-1023"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""ca7c00011edb8a37"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-6938,Inner-Editor-Assistant,2,1,54,"54,55","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""6fd8a75accd8d3a7"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""0bbb154eb513c10c"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-6938,Inner-Editor-Assistant,2,1,56,"56,57","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file_gen""}","{""action_signature_hash"":""4b488a8513261aa1"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""82bd5933b7f8f49d"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file_gen""}"
astropy__astropy-6938,Inner-Editor-Assistant,2,1,58,"58,59","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""editor""}","{""action_signature_hash"":""bd2e3cf2ee21006c"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":false,""content_hash"":""f449116b59db0b75"",""kind"":""action"",""subgoal"":"""",""tool_name"":""editor""}"
astropy__astropy-6938,Inner-Editor-Assistant,2,1,60,"60,61","{""agent"":""Inner-Editor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Editor-Assistant"",""contains_final_answer"":true,""content_hash"":""974bca4781d75b44"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-6938,Inner-Executor-Assistant,2,1,64,"64,65","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""python""}","{""action_signature_hash"":""db2f2d04539abcdc"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""c18314ea25ffa9c0"",""kind"":""action"",""subgoal"":"""",""tool_name"":""python""}"
astropy__astropy-6938,Inner-Executor-Assistant,2,1,66,"66,67","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""./setup.py""}","{""action_signature_hash"":""287bd3eb24951ba5"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""1a704807dbec2f45"",""kind"":""action"",""subgoal"":"""",""tool_name"":""./setup.py""}"
astropy__astropy-6938,Inner-Executor-Assistant,2,1,68,"68,69","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""git""}","{""action_signature_hash"":""4a2013c90ee61a59"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""95192c43ae527770"",""kind"":""action"",""subgoal"":"""",""tool_name"":""git""}"
